Name: boissy-la-riviere
Location: 48.3795 , 2.1776
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,3.25,305
2020/07/10 03:00UTC,3.45,283
2020/07/10 06:00UTC,3.81,278
2020/07/10 09:00UTC,4.77,290
2020/07/10 12:00UTC,4.12,302
2020/07/10 15:00UTC,3.93,311
2020/07/10 18:00UTC,3.87,332
2020/07/10 21:00UTC,4.10,338
2020/07/11 00:00UTC,3.07,346
2020/07/11 03:00UTC,2.58,334
2020/07/11 06:00UTC,2.37,347
2020/07/11 09:00UTC,3.05,19
2020/07/11 12:00UTC,3.08,14
2020/07/11 15:00UTC,3.74,14
2020/07/11 18:00UTC,3.30,27
2020/07/11 21:00UTC,3.48,25
2020/07/12 00:00UTC,3.73,33
2020/07/12 03:00UTC,3.36,27
2020/07/12 06:00UTC,4.09,31
2020/07/12 09:00UTC,4.56,38
2020/07/12 12:00UTC,4.55,51
2020/07/12 15:00UTC,4.35,59
2020/07/12 18:00UTC,3.48,59
2020/07/12 21:00UTC,4.03,38
2020/07/13 00:00UTC,3.40,31
2020/07/13 03:00UTC,3.52,22
2020/07/13 06:00UTC,3.80,38
2020/07/13 09:00UTC,3.86,42
2020/07/13 12:00UTC,3.81,52
2020/07/13 15:00UTC,2.99,46
2020/07/13 18:00UTC,2.19,48
2020/07/13 21:00UTC,2.71,26
2020/07/14 00:00UTC,3.02,4
2020/07/14 03:00UTC,2.71,345
2020/07/14 06:00UTC,2.65,343
2020/07/14 09:00UTC,2.26,343
2020/07/14 12:00UTC,3.01,287
2020/07/14 15:00UTC,3.68,282
2020/07/14 18:00UTC,2.88,283
2020/07/14 21:00UTC,3.26,303
2020/07/15 00:00UTC,2.92,294
2020/07/15 03:00UTC,3.10,274
2020/07/15 06:00UTC,3.68,259
2020/07/15 09:00UTC,5.08,246
2020/07/15 12:00UTC,5.67,251
2020/07/15 15:00UTC,5.27,269
2020/07/15 18:00UTC,3.55,263
2020/07/15 21:00UTC,3.01,286
2020/07/16 00:00UTC,3.06,284
2020/07/16 03:00UTC,2.72,281
2020/07/16 06:00UTC,2.90,292
2020/07/16 09:00UTC,3.31,298
2020/07/16 12:00UTC,3.39,283
2020/07/16 15:00UTC,3.29,292
2020/07/16 18:00UTC,2.77,302
2020/07/16 21:00UTC,3.21,307
2020/07/17 00:00UTC,2.57,334
2020/07/17 03:00UTC,1.92,330
2020/07/17 06:00UTC,1.53,322
2020/07/17 09:00UTC,0.99,326
2020/07/17 12:00UTC,1.92,307
2020/07/17 15:00UTC,2.84,332
2020/07/17 18:00UTC,3.38,349
2020/07/17 21:00UTC,3.01,14
2020/07/18 00:00UTC,2.37,25
2020/07/18 03:00UTC,2.08,18
2020/07/18 06:00UTC,2.07,25
2020/07/18 09:00UTC,2.54,43
2020/07/18 12:00UTC,3.01,56
2020/07/18 15:00UTC,2.96,71
2020/07/18 18:00UTC,2.84,97
2020/07/18 21:00UTC,3.19,81
2020/07/19 00:00UTC,2.27,75
2020/07/19 03:00UTC,2.15,65
2020/07/19 06:00UTC,2.64,63
2020/07/19 09:00UTC,3.54,70
2020/07/19 12:00UTC,3.54,80
2020/07/19 15:00UTC,3.25,79
2020/07/19 18:00UTC,2.84,73
2020/07/19 21:00UTC,3.28,58
2020/07/20 00:00UTC,3.35,55
