Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,4.31,269
2020/07/09 21:00UTC,4.85,260
2020/07/10 00:00UTC,3.48,284
2020/07/10 03:00UTC,3.46,279
2020/07/10 06:00UTC,3.36,264
2020/07/10 09:00UTC,4.80,289
2020/07/10 15:00UTC,6.26,335
2020/07/10 18:00UTC,5.47,345
2020/07/10 21:00UTC,4.26,346
2020/07/11 00:00UTC,3.56,347
2020/07/11 03:00UTC,2.65,341
2020/07/11 06:00UTC,1.65,341
2020/07/11 09:00UTC,2.46,1
2020/07/11 12:00UTC,2.41,3
2020/07/11 15:00UTC,3.17,359
2020/07/11 18:00UTC,3.85,352
2020/07/11 21:00UTC,4.96,12
2020/07/12 00:00UTC,4.48,26
2020/07/12 03:00UTC,3.92,29
2020/07/12 06:00UTC,3.12,25
2020/07/12 09:00UTC,3.27,30
2020/07/12 12:00UTC,2.97,23
2020/07/12 15:00UTC,3.62,10
2020/07/12 18:00UTC,3.95,23
2020/07/12 21:00UTC,4.00,37
2020/07/13 00:00UTC,4.26,37
2020/07/13 03:00UTC,3.35,31
2020/07/13 06:00UTC,2.44,23
2020/07/13 09:00UTC,1.91,30
2020/07/13 12:00UTC,1.23,18
2020/07/13 15:00UTC,2.43,332
2020/07/13 18:00UTC,3.27,338
2020/07/13 21:00UTC,4.88,349
2020/07/14 00:00UTC,4.32,346
2020/07/14 03:00UTC,3.13,339
2020/07/14 06:00UTC,2.01,330
2020/07/14 09:00UTC,1.96,321
2020/07/14 12:00UTC,2.09,308
2020/07/14 15:00UTC,4.76,323
2020/07/14 18:00UTC,2.98,337
2020/07/14 21:00UTC,2.76,316
2020/07/15 00:00UTC,3.60,336
2020/07/15 03:00UTC,2.89,334
2020/07/15 09:00UTC,2.01,321
2020/07/15 12:00UTC,2.41,313
2020/07/15 15:00UTC,4.06,342
2020/07/15 18:00UTC,4.14,351
