Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,2.84,280
2020/07/10 03:00UTC,4.34,271
2020/07/10 06:00UTC,4.59,274
2020/07/10 09:00UTC,4.18,311
2020/07/10 12:00UTC,4.86,317
2020/07/10 15:00UTC,5.34,327
2020/07/10 18:00UTC,4.74,335
2020/07/10 21:00UTC,3.37,329
2020/07/11 00:00UTC,2.49,311
2020/07/11 03:00UTC,2.13,313
2020/07/11 06:00UTC,1.98,336
2020/07/11 09:00UTC,2.96,351
2020/07/11 12:00UTC,3.68,352
2020/07/11 15:00UTC,4.47,1
2020/07/11 18:00UTC,4.35,5
2020/07/11 21:00UTC,3.96,11
2020/07/12 00:00UTC,2.95,22
2020/07/12 03:00UTC,2.44,34
2020/07/12 06:00UTC,3.05,40
2020/07/12 09:00UTC,4.26,45
2020/07/12 12:00UTC,4.40,47
2020/07/12 15:00UTC,4.45,41
2020/07/12 18:00UTC,4.24,35
2020/07/12 21:00UTC,3.73,39
2020/07/13 00:00UTC,3.47,32
2020/07/13 03:00UTC,3.19,31
2020/07/13 06:00UTC,2.98,42
2020/07/13 09:00UTC,3.45,38
2020/07/13 12:00UTC,3.22,30
2020/07/13 15:00UTC,3.36,9
2020/07/13 18:00UTC,4.15,6
2020/07/13 21:00UTC,3.31,2
2020/07/14 00:00UTC,2.14,350
2020/07/14 03:00UTC,2.18,338
2020/07/14 06:00UTC,1.87,322
2020/07/14 09:00UTC,2.18,306
2020/07/14 12:00UTC,3.03,296
2020/07/14 15:00UTC,4.04,291
2020/07/14 18:00UTC,4.44,293
2020/07/14 21:00UTC,2.92,284
2020/07/15 00:00UTC,3.82,271
2020/07/15 03:00UTC,3.52,263
2020/07/15 06:00UTC,4.10,247
2020/07/15 09:00UTC,5.31,233
2020/07/15 12:00UTC,6.13,252
2020/07/15 15:00UTC,5.13,261
2020/07/15 18:00UTC,4.44,271
2020/07/15 21:00UTC,3.53,270
2020/07/16 00:00UTC,3.62,272
2020/07/16 03:00UTC,2.93,276
2020/07/16 06:00UTC,2.97,282
2020/07/16 09:00UTC,3.26,286
2020/07/16 12:00UTC,3.22,279
2020/07/16 15:00UTC,3.27,295
2020/07/16 18:00UTC,3.59,312
2020/07/16 21:00UTC,2.87,319
2020/07/17 00:00UTC,2.10,304
2020/07/17 03:00UTC,1.57,288
2020/07/17 06:00UTC,1.64,283
2020/07/17 09:00UTC,1.80,293
2020/07/17 12:00UTC,3.09,309
2020/07/17 15:00UTC,3.50,326
2020/07/17 18:00UTC,3.36,350
2020/07/17 21:00UTC,2.92,341
2020/07/18 00:00UTC,1.60,343
2020/07/18 03:00UTC,1.13,327
2020/07/18 06:00UTC,0.98,329
2020/07/18 09:00UTC,1.72,24
2020/07/18 12:00UTC,2.04,26
2020/07/18 15:00UTC,2.34,24
2020/07/18 18:00UTC,3.12,29
2020/07/18 21:00UTC,3.29,46
2020/07/19 00:00UTC,2.49,48
2020/07/19 03:00UTC,1.16,45
2020/07/19 06:00UTC,1.62,57
2020/07/19 09:00UTC,2.66,75
2020/07/19 12:00UTC,2.76,79
2020/07/19 15:00UTC,2.69,52
2020/07/19 18:00UTC,3.47,50
2020/07/19 21:00UTC,3.66,45
2020/07/20 00:00UTC,3.34,46
