Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,3.58,285
2020/07/10 03:00UTC,2.92,276
2020/07/10 06:00UTC,3.34,269
2020/07/10 09:00UTC,4.58,279
2020/07/10 12:00UTC,4.01,305
2020/07/10 15:00UTC,3.57,304
2020/07/10 18:00UTC,3.09,326
2020/07/10 21:00UTC,3.67,339
2020/07/11 00:00UTC,2.78,5
2020/07/11 03:00UTC,2.28,345
2020/07/11 06:00UTC,2.12,358
2020/07/11 09:00UTC,3.19,26
2020/07/11 12:00UTC,3.40,26
2020/07/11 15:00UTC,3.92,34
2020/07/11 18:00UTC,3.38,53
2020/07/11 21:00UTC,3.35,36
2020/07/12 00:00UTC,3.95,28
2020/07/12 03:00UTC,3.48,26
2020/07/12 06:00UTC,4.34,33
2020/07/12 09:00UTC,4.64,33
2020/07/12 12:00UTC,4.75,49
2020/07/12 15:00UTC,4.85,55
2020/07/12 18:00UTC,3.85,47
2020/07/12 21:00UTC,4.32,35
2020/07/13 00:00UTC,3.43,30
2020/07/13 03:00UTC,3.32,23
2020/07/13 06:00UTC,3.62,36
2020/07/13 09:00UTC,3.87,41
2020/07/13 12:00UTC,4.44,49
2020/07/13 15:00UTC,3.60,45
2020/07/13 18:00UTC,2.55,42
2020/07/13 21:00UTC,2.45,26
2020/07/14 00:00UTC,3.14,14
2020/07/14 03:00UTC,2.31,357
2020/07/14 06:00UTC,2.00,352
2020/07/14 09:00UTC,2.53,348
2020/07/14 12:00UTC,2.83,304
2020/07/14 15:00UTC,3.93,293
2020/07/14 18:00UTC,2.54,285
2020/07/14 21:00UTC,3.27,278
2020/07/15 00:00UTC,2.90,301
2020/07/15 03:00UTC,2.60,269
2020/07/15 06:00UTC,3.18,264
2020/07/15 09:00UTC,4.40,252
2020/07/15 12:00UTC,5.18,254
2020/07/15 15:00UTC,5.40,257
2020/07/15 18:00UTC,2.90,263
2020/07/15 21:00UTC,2.71,268
2020/07/16 00:00UTC,2.82,282
2020/07/16 03:00UTC,2.67,276
2020/07/16 06:00UTC,2.89,286
2020/07/16 09:00UTC,2.77,310
2020/07/16 12:00UTC,3.20,293
2020/07/16 15:00UTC,3.75,298
2020/07/16 18:00UTC,3.15,305
2020/07/16 21:00UTC,2.46,285
2020/07/17 00:00UTC,2.26,334
2020/07/17 03:00UTC,1.26,360
2020/07/17 06:00UTC,1.01,334
2020/07/17 09:00UTC,1.28,354
2020/07/17 12:00UTC,1.67,338
2020/07/17 15:00UTC,1.84,350
2020/07/17 18:00UTC,1.65,12
2020/07/17 21:00UTC,3.34,34
2020/07/18 00:00UTC,2.60,55
2020/07/18 03:00UTC,2.03,38
2020/07/18 06:00UTC,2.42,40
2020/07/18 09:00UTC,2.79,46
2020/07/18 12:00UTC,3.15,50
2020/07/18 15:00UTC,3.33,64
2020/07/18 18:00UTC,2.89,77
2020/07/18 21:00UTC,3.21,72
2020/07/19 00:00UTC,2.52,74
2020/07/19 03:00UTC,2.21,68
2020/07/19 06:00UTC,2.77,62
2020/07/19 09:00UTC,3.77,67
2020/07/19 12:00UTC,3.76,74
2020/07/19 15:00UTC,3.58,70
2020/07/19 18:00UTC,3.13,46
2020/07/19 21:00UTC,3.71,50
2020/07/20 00:00UTC,3.29,56
