Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,4.39,269
2020/07/09 21:00UTC,4.92,312
2020/07/10 00:00UTC,4.02,286
2020/07/10 03:00UTC,4.38,277
2020/07/10 06:00UTC,4.42,278
2020/07/10 09:00UTC,4.96,314
2020/07/10 15:00UTC,7.05,327
2020/07/10 18:00UTC,4.76,328
2020/07/10 21:00UTC,4.05,333
2020/07/11 00:00UTC,2.40,327
2020/07/11 03:00UTC,1.69,304
2020/07/11 06:00UTC,1.29,326
2020/07/11 09:00UTC,2.65,343
2020/07/11 12:00UTC,2.37,326
2020/07/11 15:00UTC,3.58,328
2020/07/11 18:00UTC,5.26,354
2020/07/11 21:00UTC,4.84,11
2020/07/12 00:00UTC,3.69,25
2020/07/12 03:00UTC,2.97,37
2020/07/12 06:00UTC,2.30,34
2020/07/12 09:00UTC,2.85,45
2020/07/12 12:00UTC,2.78,44
2020/07/12 15:00UTC,2.59,32
2020/07/12 18:00UTC,3.26,11
2020/07/12 21:00UTC,5.03,40
2020/07/13 00:00UTC,3.78,46
2020/07/13 03:00UTC,2.44,39
2020/07/13 06:00UTC,1.28,20
2020/07/13 09:00UTC,1.36,15
2020/07/13 12:00UTC,1.62,359
2020/07/13 15:00UTC,1.42,355
2020/07/13 18:00UTC,5.45,326
2020/07/13 21:00UTC,5.01,329
2020/07/14 00:00UTC,3.69,320
2020/07/14 03:00UTC,2.93,304
2020/07/14 06:00UTC,2.20,294
2020/07/14 09:00UTC,2.70,303
2020/07/14 12:00UTC,4.91,305
2020/07/14 15:00UTC,3.35,303
2020/07/14 18:00UTC,3.75,305
2020/07/14 21:00UTC,4.11,344
2020/07/15 00:00UTC,3.07,336
2020/07/15 03:00UTC,1.67,301
2020/07/15 09:00UTC,2.33,284
2020/07/15 12:00UTC,5.98,317
2020/07/15 15:00UTC,5.36,319
2020/07/15 18:00UTC,4.55,342
