Name: parc-du-gatinais-b
Location: 48.1399 , 2.5616
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,3.69,256
2020/07/09 21:00UTC,4.52,261
2020/07/10 00:00UTC,4.22,267
2020/07/10 03:00UTC,3.70,260
2020/07/10 06:00UTC,3.15,257
2020/07/10 09:00UTC,4.82,277
2020/07/10 15:00UTC,5.38,334
2020/07/10 18:00UTC,4.85,348
2020/07/10 21:00UTC,4.53,350
2020/07/11 00:00UTC,3.70,350
2020/07/11 03:00UTC,2.79,353
2020/07/11 06:00UTC,1.78,360
2020/07/11 09:00UTC,2.08,1
2020/07/11 12:00UTC,2.54,358
2020/07/11 15:00UTC,3.78,355
2020/07/11 18:00UTC,3.44,353
2020/07/11 21:00UTC,4.56,5
2020/07/12 00:00UTC,4.65,31
2020/07/12 03:00UTC,3.87,32
2020/07/12 06:00UTC,3.15,30
2020/07/12 09:00UTC,3.22,26
2020/07/12 12:00UTC,3.37,11
2020/07/12 15:00UTC,3.62,20
2020/07/12 18:00UTC,3.26,22
2020/07/12 21:00UTC,4.29,29
2020/07/13 00:00UTC,4.29,37
2020/07/13 03:00UTC,3.32,35
2020/07/13 06:00UTC,2.36,29
2020/07/13 09:00UTC,1.82,31
2020/07/13 12:00UTC,1.84,3
2020/07/13 15:00UTC,2.00,16
2020/07/13 18:00UTC,1.48,285
2020/07/13 21:00UTC,3.81,8
2020/07/14 00:00UTC,4.50,349
2020/07/14 03:00UTC,2.99,352
2020/07/14 06:00UTC,1.95,341
2020/07/14 09:00UTC,1.68,332
2020/07/14 12:00UTC,1.71,311
2020/07/14 15:00UTC,2.99,306
2020/07/14 18:00UTC,4.86,341
2020/07/14 21:00UTC,1.91,310
2020/07/15 00:00UTC,3.18,324
2020/07/15 03:00UTC,2.82,335
2020/07/15 09:00UTC,2.26,338
2020/07/15 12:00UTC,2.99,321
2020/07/15 15:00UTC,3.09,324
2020/07/15 18:00UTC,4.29,353
