Name: arville
Location: 48.1694 , 2.5539
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,3.57,286
2020/07/10 03:00UTC,2.95,277
2020/07/10 06:00UTC,3.39,269
2020/07/10 09:00UTC,4.62,280
2020/07/10 12:00UTC,4.03,306
2020/07/10 15:00UTC,3.60,304
2020/07/10 18:00UTC,3.08,326
2020/07/10 21:00UTC,3.64,339
2020/07/11 00:00UTC,2.73,4
2020/07/11 03:00UTC,2.22,344
2020/07/11 06:00UTC,2.05,358
2020/07/11 09:00UTC,3.18,26
2020/07/11 12:00UTC,3.36,27
2020/07/11 15:00UTC,3.92,35
2020/07/11 18:00UTC,3.42,53
2020/07/11 21:00UTC,3.38,35
2020/07/12 00:00UTC,3.94,28
2020/07/12 03:00UTC,3.47,26
2020/07/12 06:00UTC,4.33,33
2020/07/12 09:00UTC,4.64,33
2020/07/12 12:00UTC,4.75,48
2020/07/12 15:00UTC,4.81,55
2020/07/12 18:00UTC,3.83,47
2020/07/12 21:00UTC,4.33,35
2020/07/13 00:00UTC,3.42,30
2020/07/13 03:00UTC,3.33,23
2020/07/13 06:00UTC,3.61,36
2020/07/13 09:00UTC,3.87,41
2020/07/13 12:00UTC,4.40,49
2020/07/13 15:00UTC,3.57,46
2020/07/13 18:00UTC,2.56,43
2020/07/13 21:00UTC,2.53,26
2020/07/14 00:00UTC,3.14,13
2020/07/14 03:00UTC,2.31,358
2020/07/14 06:00UTC,2.01,352
2020/07/14 09:00UTC,2.51,348
2020/07/14 12:00UTC,2.82,302
2020/07/14 15:00UTC,3.89,291
2020/07/14 18:00UTC,2.53,285
2020/07/14 21:00UTC,3.33,279
2020/07/15 00:00UTC,2.91,300
2020/07/15 03:00UTC,2.65,268
2020/07/15 06:00UTC,3.22,263
2020/07/15 09:00UTC,4.43,252
2020/07/15 12:00UTC,5.21,253
2020/07/15 15:00UTC,5.39,257
2020/07/15 18:00UTC,2.92,263
2020/07/15 21:00UTC,2.74,270
2020/07/16 00:00UTC,2.86,281
2020/07/16 03:00UTC,2.68,276
2020/07/16 06:00UTC,2.91,286
2020/07/16 09:00UTC,2.79,309
2020/07/16 12:00UTC,3.26,291
2020/07/16 15:00UTC,3.76,295
2020/07/16 18:00UTC,3.17,303
2020/07/16 21:00UTC,2.50,285
2020/07/17 00:00UTC,2.20,335
2020/07/17 03:00UTC,1.21,359
2020/07/17 06:00UTC,0.97,329
2020/07/17 09:00UTC,1.22,351
2020/07/17 12:00UTC,1.66,334
2020/07/17 15:00UTC,1.79,348
2020/07/17 18:00UTC,1.77,12
2020/07/17 21:00UTC,3.30,34
2020/07/18 00:00UTC,2.57,55
2020/07/18 03:00UTC,2.03,38
2020/07/18 06:00UTC,2.35,40
2020/07/18 09:00UTC,2.75,45
2020/07/18 12:00UTC,3.13,51
2020/07/18 15:00UTC,3.31,65
2020/07/18 18:00UTC,2.85,77
2020/07/18 21:00UTC,3.20,73
2020/07/19 00:00UTC,2.48,74
2020/07/19 03:00UTC,2.19,67
2020/07/19 06:00UTC,2.73,62
2020/07/19 09:00UTC,3.71,67
2020/07/19 12:00UTC,3.74,74
2020/07/19 15:00UTC,3.57,70
2020/07/19 18:00UTC,3.09,47
2020/07/19 21:00UTC,3.69,51
2020/07/20 00:00UTC,3.29,56
