Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,3.35,300
2020/07/10 03:00UTC,3.53,283
2020/07/10 06:00UTC,4.04,270
2020/07/10 09:00UTC,5.04,286
2020/07/10 12:00UTC,4.33,307
2020/07/10 15:00UTC,4.19,307
2020/07/10 18:00UTC,3.31,331
2020/07/10 21:00UTC,3.23,346
2020/07/11 00:00UTC,2.37,356
2020/07/11 03:00UTC,1.79,336
2020/07/11 06:00UTC,1.55,354
2020/07/11 09:00UTC,2.90,15
2020/07/11 12:00UTC,2.92,20
2020/07/11 15:00UTC,3.99,34
2020/07/11 18:00UTC,3.54,40
2020/07/11 21:00UTC,3.80,24
2020/07/12 00:00UTC,3.69,29
2020/07/12 03:00UTC,3.38,29
2020/07/12 06:00UTC,4.01,33
2020/07/12 09:00UTC,4.40,35
2020/07/12 12:00UTC,4.57,47
2020/07/12 15:00UTC,4.25,51
2020/07/12 18:00UTC,3.66,42
2020/07/12 21:00UTC,4.32,34
2020/07/13 00:00UTC,3.32,33
2020/07/13 03:00UTC,3.32,25
2020/07/13 06:00UTC,3.29,35
2020/07/13 09:00UTC,3.60,38
2020/07/13 12:00UTC,3.78,47
2020/07/13 15:00UTC,3.36,46
2020/07/13 18:00UTC,2.82,37
2020/07/13 21:00UTC,3.51,23
2020/07/14 00:00UTC,3.13,8
2020/07/14 03:00UTC,2.38,1
2020/07/14 06:00UTC,2.16,347
2020/07/14 09:00UTC,2.26,343
2020/07/14 12:00UTC,2.84,285
2020/07/14 15:00UTC,3.64,271
2020/07/14 18:00UTC,2.54,290
2020/07/14 21:00UTC,3.59,294
2020/07/15 00:00UTC,2.99,287
2020/07/15 03:00UTC,3.12,268
2020/07/15 06:00UTC,3.60,257
2020/07/15 09:00UTC,4.70,245
2020/07/15 12:00UTC,5.50,247
2020/07/15 15:00UTC,5.19,264
2020/07/15 18:00UTC,3.35,256
2020/07/15 21:00UTC,3.15,281
2020/07/16 00:00UTC,3.24,274
2020/07/16 03:00UTC,2.88,273
2020/07/16 06:00UTC,3.08,286
2020/07/16 09:00UTC,3.22,291
2020/07/16 12:00UTC,3.84,275
2020/07/16 15:00UTC,3.89,273
2020/07/16 18:00UTC,3.63,287
2020/07/16 21:00UTC,2.83,300
2020/07/17 00:00UTC,1.76,351
2020/07/17 03:00UTC,1.04,326
2020/07/17 06:00UTC,1.13,287
2020/07/17 09:00UTC,1.23,293
2020/07/17 12:00UTC,2.27,298
2020/07/17 15:00UTC,2.02,326
2020/07/17 18:00UTC,3.32,7
2020/07/17 21:00UTC,2.54,28
2020/07/18 00:00UTC,1.94,49
2020/07/18 03:00UTC,1.80,28
2020/07/18 06:00UTC,1.46,33
2020/07/18 09:00UTC,2.14,31
2020/07/18 12:00UTC,2.64,54
2020/07/18 15:00UTC,2.97,67
2020/07/18 18:00UTC,2.57,72
2020/07/18 21:00UTC,3.02,79
2020/07/19 00:00UTC,2.00,65
2020/07/19 03:00UTC,1.98,59
2020/07/19 06:00UTC,2.14,62
2020/07/19 09:00UTC,2.95,71
2020/07/19 12:00UTC,3.31,81
2020/07/19 15:00UTC,3.29,77
2020/07/19 18:00UTC,2.72,65
2020/07/19 21:00UTC,3.54,60
2020/07/20 00:00UTC,3.24,56
