Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/10 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 00:00UTC,3.12,309
2020/07/10 03:00UTC,3.46,281
2020/07/10 06:00UTC,3.79,281
2020/07/10 09:00UTC,4.62,292
2020/07/10 12:00UTC,4.08,300
2020/07/10 15:00UTC,3.94,317
2020/07/10 18:00UTC,4.31,334
2020/07/10 21:00UTC,4.51,338
2020/07/11 00:00UTC,3.50,342
2020/07/11 03:00UTC,3.01,335
2020/07/11 06:00UTC,2.84,346
2020/07/11 09:00UTC,3.09,15
2020/07/11 12:00UTC,3.27,7
2020/07/11 15:00UTC,3.88,2
2020/07/11 18:00UTC,3.47,14
2020/07/11 21:00UTC,3.39,24
2020/07/12 00:00UTC,3.77,34
2020/07/12 03:00UTC,3.35,27
2020/07/12 06:00UTC,4.05,30
2020/07/12 09:00UTC,4.54,39
2020/07/12 12:00UTC,4.45,52
2020/07/12 15:00UTC,4.30,59
2020/07/12 18:00UTC,3.53,65
2020/07/12 21:00UTC,3.84,39
2020/07/13 00:00UTC,3.50,30
2020/07/13 03:00UTC,3.62,21
2020/07/13 06:00UTC,3.90,39
2020/07/13 09:00UTC,3.88,43
2020/07/13 12:00UTC,3.68,53
2020/07/13 15:00UTC,2.89,38
2020/07/13 18:00UTC,2.02,43
2020/07/13 21:00UTC,2.58,22
2020/07/14 00:00UTC,2.97,1
2020/07/14 03:00UTC,2.95,341
2020/07/14 06:00UTC,2.96,341
2020/07/14 09:00UTC,2.20,341
2020/07/14 12:00UTC,3.07,288
2020/07/14 15:00UTC,3.66,286
2020/07/14 18:00UTC,3.13,281
2020/07/14 21:00UTC,3.02,313
2020/07/15 00:00UTC,2.75,295
2020/07/15 03:00UTC,3.12,277
2020/07/15 06:00UTC,3.73,259
2020/07/15 09:00UTC,5.23,246
2020/07/15 12:00UTC,5.68,252
2020/07/15 15:00UTC,5.22,268
2020/07/15 18:00UTC,3.70,268
2020/07/15 21:00UTC,3.06,290
2020/07/16 00:00UTC,2.98,289
2020/07/16 03:00UTC,2.63,286
2020/07/16 06:00UTC,2.74,295
2020/07/16 09:00UTC,3.28,298
2020/07/16 12:00UTC,3.13,287
2020/07/16 15:00UTC,2.98,304
2020/07/16 18:00UTC,2.53,314
2020/07/16 21:00UTC,3.42,317
2020/07/17 00:00UTC,3.02,331
2020/07/17 03:00UTC,2.49,331
2020/07/17 06:00UTC,1.92,332
2020/07/17 09:00UTC,1.03,335
2020/07/17 12:00UTC,1.94,311
2020/07/17 15:00UTC,3.43,335
2020/07/17 18:00UTC,3.81,342
2020/07/17 21:00UTC,3.26,4
2020/07/18 00:00UTC,2.72,13
2020/07/18 03:00UTC,2.24,11
2020/07/18 06:00UTC,2.31,21
2020/07/18 09:00UTC,2.59,45
2020/07/18 12:00UTC,3.05,54
2020/07/18 15:00UTC,2.85,67
2020/07/18 18:00UTC,2.91,98
2020/07/18 21:00UTC,3.08,81
2020/07/19 00:00UTC,2.36,76
2020/07/19 03:00UTC,2.23,66
2020/07/19 06:00UTC,2.84,64
2020/07/19 09:00UTC,3.71,71
2020/07/19 12:00UTC,3.60,80
2020/07/19 15:00UTC,3.16,82
2020/07/19 18:00UTC,2.91,80
2020/07/19 21:00UTC,3.14,58
2020/07/20 00:00UTC,3.38,53
