Name: angerville-1-b
Location: 48.3201 , 2.0284
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,4.49,272
2020/07/09 21:00UTC,4.97,262
2020/07/10 00:00UTC,3.70,278
2020/07/10 03:00UTC,3.59,276
2020/07/10 06:00UTC,3.33,265
2020/07/10 09:00UTC,4.72,291
2020/07/10 15:00UTC,6.10,338
2020/07/10 18:00UTC,5.48,347
2020/07/10 21:00UTC,4.30,348
2020/07/11 00:00UTC,3.56,348
2020/07/11 03:00UTC,2.69,342
2020/07/11 06:00UTC,1.69,343
2020/07/11 09:00UTC,2.48,3
2020/07/11 12:00UTC,2.29,10
2020/07/11 15:00UTC,3.26,11
2020/07/11 18:00UTC,3.82,357
2020/07/11 21:00UTC,5.09,14
2020/07/12 00:00UTC,4.55,25
2020/07/12 03:00UTC,4.03,30
2020/07/12 06:00UTC,3.18,28
2020/07/12 09:00UTC,3.42,32
2020/07/12 12:00UTC,3.14,28
2020/07/12 15:00UTC,3.65,7
2020/07/12 18:00UTC,3.61,37
2020/07/12 21:00UTC,3.96,39
2020/07/13 00:00UTC,4.28,38
2020/07/13 03:00UTC,3.44,32
2020/07/13 06:00UTC,2.53,26
2020/07/13 09:00UTC,1.99,34
2020/07/13 12:00UTC,1.43,19
2020/07/13 15:00UTC,3.51,314
2020/07/13 18:00UTC,3.22,323
2020/07/13 21:00UTC,4.62,351
2020/07/14 00:00UTC,4.35,348
2020/07/14 03:00UTC,3.19,340
2020/07/14 06:00UTC,2.04,334
2020/07/14 09:00UTC,2.00,321
2020/07/14 12:00UTC,2.12,309
2020/07/14 15:00UTC,4.36,319
2020/07/14 18:00UTC,2.83,339
2020/07/14 21:00UTC,2.69,325
2020/07/15 00:00UTC,3.68,336
2020/07/15 03:00UTC,2.94,334
2020/07/15 09:00UTC,2.13,323
2020/07/15 12:00UTC,2.34,321
2020/07/15 15:00UTC,4.36,347
2020/07/15 18:00UTC,4.16,352
