Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,3.72,256
2020/07/09 21:00UTC,4.53,261
2020/07/10 00:00UTC,4.09,269
2020/07/10 03:00UTC,3.63,262
2020/07/10 06:00UTC,3.17,257
2020/07/10 09:00UTC,4.84,277
2020/07/10 15:00UTC,5.45,334
2020/07/10 18:00UTC,4.91,347
2020/07/10 21:00UTC,4.49,350
2020/07/11 00:00UTC,3.69,350
2020/07/11 03:00UTC,2.78,352
2020/07/11 06:00UTC,1.76,358
2020/07/11 09:00UTC,2.08,1
2020/07/11 12:00UTC,2.55,357
2020/07/11 15:00UTC,3.72,354
2020/07/11 18:00UTC,3.48,353
2020/07/11 21:00UTC,4.60,5
2020/07/12 00:00UTC,4.63,30
2020/07/12 03:00UTC,3.86,31
2020/07/12 06:00UTC,3.15,29
2020/07/12 09:00UTC,3.20,25
2020/07/12 12:00UTC,3.29,11
2020/07/12 15:00UTC,3.61,21
2020/07/12 18:00UTC,3.40,20
2020/07/12 21:00UTC,4.33,29
2020/07/13 00:00UTC,4.29,37
2020/07/13 03:00UTC,3.32,35
2020/07/13 06:00UTC,2.36,28
2020/07/13 09:00UTC,1.82,30
2020/07/13 12:00UTC,1.75,4
2020/07/13 15:00UTC,2.02,25
2020/07/13 18:00UTC,1.52,300
2020/07/13 21:00UTC,3.88,5
2020/07/14 00:00UTC,4.48,348
2020/07/14 03:00UTC,2.98,351
2020/07/14 06:00UTC,1.94,340
2020/07/14 09:00UTC,1.68,331
2020/07/14 12:00UTC,1.73,309
2020/07/14 15:00UTC,3.20,309
2020/07/14 18:00UTC,4.75,341
2020/07/14 21:00UTC,1.95,309
2020/07/15 00:00UTC,3.21,326
2020/07/15 03:00UTC,2.82,336
2020/07/15 09:00UTC,2.20,337
2020/07/15 12:00UTC,2.96,320
2020/07/15 15:00UTC,3.01,325
2020/07/15 18:00UTC,4.31,353
