Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,4.01,261
2020/07/09 21:00UTC,4.25,268
2020/07/10 00:00UTC,3.38,299
2020/07/10 03:00UTC,3.32,283
2020/07/10 06:00UTC,3.56,262
2020/07/10 09:00UTC,4.96,286
2020/07/10 15:00UTC,6.24,326
2020/07/10 18:00UTC,5.45,335
2020/07/10 21:00UTC,4.13,340
2020/07/11 00:00UTC,3.41,344
2020/07/11 03:00UTC,2.33,339
2020/07/11 06:00UTC,1.45,336
2020/07/11 09:00UTC,2.05,348
2020/07/11 12:00UTC,2.63,336
2020/07/11 15:00UTC,3.15,331
2020/07/11 18:00UTC,4.24,348
2020/07/11 21:00UTC,4.99,15
2020/07/12 00:00UTC,4.29,28
2020/07/12 03:00UTC,3.65,27
2020/07/12 06:00UTC,3.01,22
2020/07/12 09:00UTC,2.95,25
2020/07/12 12:00UTC,2.44,10
2020/07/12 15:00UTC,3.16,29
2020/07/12 18:00UTC,4.52,15
2020/07/12 21:00UTC,4.75,28
2020/07/13 00:00UTC,4.20,36
2020/07/13 03:00UTC,3.10,31
2020/07/13 06:00UTC,2.12,19
2020/07/13 09:00UTC,1.72,20
2020/07/13 12:00UTC,1.03,3
2020/07/13 15:00UTC,2.52,60
2020/07/13 18:00UTC,3.89,350
2020/07/13 21:00UTC,4.77,343
2020/07/14 00:00UTC,4.13,340
2020/07/14 03:00UTC,2.83,336
2020/07/14 06:00UTC,1.95,317
2020/07/14 09:00UTC,1.83,314
2020/07/14 12:00UTC,2.57,298
2020/07/14 15:00UTC,5.43,328
2020/07/14 18:00UTC,2.96,326
2020/07/14 21:00UTC,2.72,313
2020/07/15 00:00UTC,3.43,343
2020/07/15 03:00UTC,2.59,339
2020/07/15 09:00UTC,1.61,314
2020/07/15 12:00UTC,2.35,305
2020/07/15 15:00UTC,3.09,332
2020/07/15 18:00UTC,4.08,350
